Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
31,Male,Single,HR,Analyst,2,5391.0,54,17,12,6,4.0,5.0,3,80,Yes,1,55,12,1,2,2,38,4,No
45,Female,Divorced,Marketing,Manager,2,,64,28,1,0,3.0,5.0,2,90,No,5,30,5,2,2,4,19,2,No
53,Male,Married,Sales,Analyst,3,8761.0,89,15,9,4,3.0,1.0,4,44,Yes,5,36,4,3,2,3,13,1,No
33,Female,Single,Finance,Executive,5,16149.0,33,26,13,3,1.0,4.0,4,7,No,3,56,10,3,4,1,21,1,No
45,Male,Married,Sales,Manager,1,10216.0,36,21,10,1,2.0,2.0,4,5,Yes,5,57,10,1,2,4,36,1,No
46,Male,Divorced,Marketing,Executive,2,,65,29,5,8,4.0,1.0,1,50,No,1,40,17,2,1,1,1,4,No
28,Female,Single,,Assistant,1,,63,10,9,0,1.0,2.0,4,93,No,1,40,18,3,2,1,20,3,No
45,Male,Single,Finance,Analyst,4,3847.0,66,28,5,3,3.0,2.0,4,22,Yes,1,47,14,4,1,3,43,1,No
41,Female,Divorced,Finance,Manager,5,7671.0,36,9,7,5,1.0,,4,78,Yes,6,47,4,4,2,4,22,1,No
49,Female,Single,Sales,Executive,5,11736.0,76,27,14,3,1.0,,2,59,Yes,6,38,7,2,3,3,1,2,No
36,Female,Single,Marketing,Analyst,4,7153.0,74,19,7,9,4.0,4.0,4,40,No,1,47,17,1,4,2,25,3,No
45,Female,Single,IT,Analyst,5,11571.0,94,7,9,9,2.0,4.0,1,13,Yes,1,54,9,1,4,2,19,1,No
55,Male,Married,,Executive,4,16265.0,95,25,12,3,2.0,3.0,2,26,Yes,5,45,13,1,2,3,40,4,No
20,Male,Married,HR,Manager,1,12353.0,21,13,5,1,3.0,5.0,1,66,No,2,47,2,4,2,1,10,2,No
27,Female,Single,Finance,Executive,4,,67,2,7,9,1.0,5.0,4,11,No,3,48,3,1,3,2,48,2,Yes
54,Male,Divorced,Finance,Analyst,3,17301.0,45,18,5,8,3.0,4.0,1,66,Yes,7,43,0,2,2,1,48,1,No
34,Male,Divorced,IT,Executive,4,13008.0,18,21,4,8,4.0,5.0,4,39,Yes,3,41,7,4,1,3,45,3,Yes
41,Female,Married,IT,Assistant,1,8290.0,21,8,13,0,,,2,64,Yes,1,41,4,2,3,4,7,3,Yes
33,Male,Divorced,Marketing,Analyst,5,3631.0,17,26,1,0,3.0,2.0,3,16,No,1,39,1,2,2,4,18,3,No
45,Female,Single,Finance,Manager,3,6258.0,39,21,11,7,2.0,3.0,3,17,Yes,5,58,11,4,1,4,48,2,No
47,Male,Divorced,Finance,Assistant,4,,48,8,5,8,4.0,5.0,3,9,Yes,9,58,19,4,4,2,41,4,No
42,Male,Married,Sales,Executive,1,10433.0,47,20,12,2,3.0,2.0,3,58,Yes,3,48,9,2,3,4,14,1,No
33,Female,Married,Sales,Manager,3,,52,9,4,2,2.0,5.0,3,11,No,5,31,10,1,1,1,10,3,No
43,Male,Single,HR,Assistant,3,5799.0,18,13,11,1,2.0,,3,16,Yes,6,35,4,3,4,2,18,4,No
21,Male,Married,HR,Executive,3,4149.0,62,20,1,8,3.0,1.0,2,21,No,7,51,0,1,2,3,30,4,No
45,Female,Married,Sales,Assistant,4,6545.0,88,21,10,1,3.0,3.0,1,13,Yes,4,44,19,3,2,2,8,3,No
33,Male,Married,HR,Analyst,1,15631.0,75,28,1,6,,2.0,2,40,No,7,48,17,1,4,3,49,4,No
26,Female,Divorced,Finance,Manager,1,3019.0,79,12,14,1,,3.0,1,7,Yes,3,49,14,3,3,4,37,1,No
22,Male,Married,IT,Assistant,1,11624.0,95,28,5,9,4.0,2.0,4,16,Yes,4,40,5,2,3,2,35,2,Yes
42,Female,Divorced,Finance,Analyst,2,3999.0,85,7,12,9,,3.0,4,78,Yes,7,52,6,1,4,3,16,1,No
37,Female,Married,Sales,Executive,5,,92,25,12,5,4.0,5.0,1,5,No,3,41,5,1,2,4,49,4,No
57,Female,Married,Marketing,Analyst,1,7425.0,75,21,9,2,4.0,3.0,2,70,Yes,8,31,4,1,2,2,3,4,No
54,Female,Divorced,Marketing,Executive,2,10474.0,15,23,1,0,4.0,3.0,4,49,No,7,56,8,1,3,2,31,3,No
34,Female,Divorced,,Manager,2,,20,13,8,5,1.0,,1,95,Yes,5,48,11,3,2,3,23,4,Yes
44,Male,Single,Finance,Analyst,3,11526.0,88,13,13,1,1.0,3.0,4,42,Yes,2,34,14,4,1,3,36,2,No
56,Male,Single,HR,Analyst,5,5553.0,35,4,9,6,,5.0,4,8,No,7,58,18,2,1,1,48,2,Yes
47,Female,Divorced,HR,Executive,3,9052.0,81,2,11,8,2.0,2.0,4,83,Yes,2,48,15,1,1,4,22,4,No
29,Male,Married,Marketing,Assistant,5,10138.0,97,2,11,0,3.0,,2,41,Yes,2,48,2,2,4,1,46,4,No
58,Female,Single,Sales,Executive,3,13242.0,42,5,10,3,1.0,1.0,2,44,No,4,58,19,4,4,3,33,4,No
36,Male,Divorced,Sales,Assistant,4,,80,2,4,4,4.0,,3,38,No,9,38,4,3,3,1,38,2,Yes
58,Male,Divorced,IT,Executive,5,17275.0,41,15,13,8,4.0,1.0,1,65,Yes,4,41,7,3,2,3,29,3,No
41,Female,Married,Marketing,Manager,2,12748.0,46,2,8,2,4.0,,3,63,No,8,55,0,2,4,3,9,4,Yes
45,Female,Divorced,Sales,Assistant,2,10143.0,26,2,13,5,3.0,2.0,2,81,No,6,42,5,3,1,1,5,2,No
44,Male,Single,IT,Analyst,5,13537.0,79,20,1,4,2.0,,2,60,No,7,39,2,1,3,2,20,2,Yes
36,Male,Married,HR,Assistant,3,13357.0,60,8,4,4,,,1,37,Yes,2,48,3,4,1,2,44,4,No
32,Female,Divorced,Marketing,Executive,4,19068.0,54,23,10,1,1.0,3.0,3,65,No,2,55,4,1,1,2,47,4,No
39,Male,Divorced,Marketing,Executive,4,10370.0,23,5,2,9,3.0,4.0,3,78,No,6,40,8,1,3,3,18,2,No
44,Male,Married,Sales,Assistant,1,13496.0,96,16,10,4,2.0,2.0,1,10,No,3,48,7,4,2,4,28,1,No
23,Female,Married,Sales,Analyst,5,,76,23,14,2,2.0,4.0,2,2,Yes,6,32,3,2,4,3,8,4,Yes
29,Male,Married,Finance,Manager,4,13421.0,30,22,4,1,3.0,,2,8,No,4,54,14,1,1,3,33,4,No
22,Female,Single,HR,Analyst,3,7303.0,82,24,14,5,3.0,2.0,1,42,No,4,34,9,2,1,2,22,3,No
37,Female,Single,HR,Assistant,3,12070.0,54,14,2,0,2.0,1.0,1,86,No,8,41,17,1,3,2,20,1,No
55,Female,Divorced,IT,Executive,2,14904.0,49,8,14,5,4.0,1.0,1,62,Yes,9,39,7,2,4,4,33,2,No
41,Male,Divorced,IT,Analyst,4,10742.0,97,23,14,7,2.0,4.0,3,9,No,7,33,19,4,1,3,36,1,No
53,Male,Married,Finance,Executive,4,18798.0,74,21,3,2,1.0,2.0,1,87,No,9,52,10,3,2,3,9,4,No
27,Female,Divorced,HR,Executive,3,4612.0,84,22,1,9,2.0,3.0,2,31,Yes,1,59,10,1,1,4,21,2,No
59,Female,Divorced,IT,Analyst,2,15670.0,17,11,10,6,,2.0,1,67,Yes,6,42,16,4,4,2,32,2,No
38,Male,Married,HR,Assistant,4,6464.0,67,11,3,2,1.0,4.0,3,6,Yes,4,50,7,4,1,3,28,3,No
56,Male,Single,HR,Analyst,3,,73,26,7,5,3.0,4.0,4,92,Yes,2,51,4,1,3,2,15,2,Yes
25,Male,Single,IT,Manager,2,19663.0,50,8,11,6,4.0,1.0,4,44,Yes,2,52,19,4,1,1,27,4,No
45,Female,Single,,Executive,2,,80,23,13,2,4.0,1.0,3,45,Yes,6,47,18,2,3,3,46,3,No
53,Female,Divorced,Sales,Executive,3,5670.0,51,16,8,4,1.0,5.0,4,59,Yes,4,30,7,1,4,3,16,3,No
25,Male,Married,IT,Assistant,2,18285.0,93,21,6,2,3.0,4.0,1,28,No,5,57,4,3,1,3,44,3,Yes
56,Male,Single,Finance,Executive,2,,58,26,1,3,1.0,5.0,4,63,No,9,38,10,4,3,2,31,3,No
52,Male,Divorced,Marketing,Executive,1,,78,8,7,4,1.0,5.0,4,72,No,8,32,8,2,2,1,33,4,Yes
41,Female,Married,HR,Executive,2,8269.0,65,20,13,6,4.0,1.0,4,45,No,4,44,8,2,3,2,28,3,No
40,Female,Single,Marketing,Analyst,4,5052.0,20,29,12,3,3.0,3.0,2,1,Yes,2,32,3,2,4,4,23,1,Yes
25,Male,Single,IT,Executive,2,6066.0,83,22,3,3,2.0,1.0,1,2,No,2,40,8,3,2,4,40,3,No
25,Male,Married,HR,Analyst,4,14902.0,35,20,14,1,4.0,2.0,4,91,Yes,3,50,13,2,4,1,22,1,Yes
23,Female,Divorced,Marketing,Assistant,3,12049.0,71,12,13,4,1.0,,4,83,No,7,38,14,1,3,4,11,4,No
49,Female,Divorced,Sales,Manager,2,14992.0,42,5,9,2,,4.0,3,41,Yes,7,44,6,3,4,4,23,1,No
30,Male,Single,Finance,Executive,3,,99,26,11,3,1.0,3.0,4,67,No,7,50,15,2,4,2,23,1,No
49,Male,Married,Marketing,Manager,5,10772.0,38,3,2,7,1.0,4.0,2,61,Yes,3,54,15,1,4,3,20,3,Yes
50,Male,Divorced,Finance,Analyst,2,17061.0,89,18,9,3,1.0,4.0,3,29,Yes,9,36,3,2,4,1,1,3,No
43,Female,Married,Sales,Assistant,3,17512.0,77,27,10,5,3.0,5.0,4,30,Yes,7,37,5,4,1,1,15,1,No
28,Male,Married,Marketing,Assistant,5,8886.0,36,1,12,2,4.0,2.0,3,40,No,9,39,16,2,4,1,18,4,No
22,Female,Single,,Analyst,4,15419.0,48,19,2,0,2.0,1.0,3,21,Yes,9,51,11,2,2,2,24,1,Yes
50,Female,Married,HR,Manager,4,,51,13,2,3,1.0,5.0,1,72,Yes,7,58,14,1,4,2,29,4,No
59,Male,Married,Sales,Executive,4,18651.0,55,11,12,5,,5.0,4,8,No,5,52,2,3,1,4,47,1,Yes
56,Male,Married,Finance,Analyst,4,15631.0,95,1,4,8,4.0,2.0,3,30,Yes,8,40,18,2,3,2,23,2,No
55,Female,Divorced,Finance,Analyst,4,10313.0,93,22,2,4,1.0,,4,15,No,3,36,10,2,3,1,40,3,No
43,Male,Single,,Analyst,1,4555.0,57,27,7,6,3.0,5.0,1,34,Yes,6,40,4,3,1,1,44,1,No
50,Female,Single,IT,Analyst,3,19961.0,36,18,3,0,1.0,3.0,1,21,Yes,8,50,1,3,4,4,32,3,Yes
25,Male,Married,IT,Analyst,5,8516.0,29,19,11,7,1.0,1.0,1,51,No,3,51,14,4,4,1,30,4,No
21,Male,Married,Finance,Assistant,5,8693.0,35,13,14,3,,2.0,3,58,Yes,9,49,9,2,3,2,41,4,No
39,Male,Divorced,Sales,Analyst,2,,66,8,13,7,1.0,3.0,3,94,No,2,36,13,2,4,1,7,1,No
47,Male,Single,Sales,Assistant,3,3045.0,18,21,13,8,4.0,3.0,3,12,Yes,1,47,1,4,1,2,25,3,Yes
30,Female,Divorced,HR,Manager,1,,61,28,4,2,4.0,5.0,2,91,No,6,40,12,3,3,1,29,4,No
23,Female,Single,Finance,Executive,1,8724.0,32,18,1,3,3.0,2.0,2,50,No,6,52,18,2,2,4,25,3,No
34,Female,Divorced,IT,Assistant,3,,85,2,10,5,1.0,2.0,2,38,No,4,55,0,4,4,2,19,1,No
25,Male,Married,Marketing,Executive,4,6294.0,94,19,4,2,3.0,5.0,4,58,Yes,2,35,5,2,4,2,44,2,No
49,Female,Divorced,IT,Executive,4,10729.0,49,19,4,8,1.0,1.0,2,38,Yes,3,41,12,1,3,2,21,4,No
57,Female,Married,IT,Executive,3,14916.0,90,24,4,2,3.0,4.0,4,70,Yes,2,58,3,4,4,2,24,3,No
21,Female,Single,Marketing,Assistant,5,,21,5,11,6,1.0,5.0,2,88,No,4,52,13,3,1,2,38,4,Yes
34,Male,Single,Finance,Assistant,4,7043.0,55,8,9,6,4.0,3.0,3,47,Yes,8,39,8,3,4,4,33,1,No
30,Female,Married,HR,Assistant,2,,24,20,3,4,1.0,4.0,3,64,No,2,30,11,3,1,1,45,3,No
27,Male,Single,IT,Manager,1,13785.0,76,25,13,5,,1.0,4,49,Yes,7,46,3,4,2,1,26,3,No
45,Male,Divorced,IT,Assistant,4,,79,3,7,0,4.0,1.0,3,45,No,4,57,1,1,1,1,40,3,No
24,Female,Married,Finance,Manager,5,19636.0,26,2,4,2,3.0,1.0,1,34,Yes,6,44,8,4,2,2,13,3,No
25,Male,Single,Finance,Assistant,4,12404.0,42,6,11,2,2.0,4.0,4,62,Yes,1,45,12,4,4,4,2,4,Yes
45,Female,Divorced,Sales,Assistant,4,9296.0,72,27,12,1,4.0,5.0,1,74,No,1,43,5,4,1,2,43,2,Yes
23,Female,Divorced,Finance,Executive,1,17026.0,70,16,1,0,3.0,2.0,3,97,Yes,7,30,1,2,4,2,1,4,Yes
38,Female,Single,Finance,Analyst,2,3270.0,32,15,10,8,1.0,5.0,4,81,Yes,7,45,2,4,4,3,34,1,No
39,Female,Single,IT,Executive,2,13371.0,79,4,3,3,,5.0,3,30,Yes,7,32,11,2,2,4,20,1,No
52,Female,Divorced,HR,Assistant,5,,71,2,9,7,3.0,4.0,3,59,No,3,30,19,1,3,2,1,3,No
39,Male,Married,IT,Analyst,3,15507.0,64,14,10,6,3.0,3.0,3,15,Yes,6,40,15,3,1,1,41,1,No
31,Female,Single,Finance,Analyst,3,6623.0,95,6,12,5,1.0,4.0,1,50,No,8,32,19,3,4,2,26,4,No
20,Male,Single,Sales,Manager,3,12294.0,59,20,6,0,1.0,3.0,1,93,Yes,8,45,6,4,1,4,20,2,No
45,Female,Married,HR,Analyst,5,3750.0,76,26,8,2,,4.0,3,54,No,8,56,10,4,4,2,18,2,No
33,Female,Married,Sales,Manager,4,13559.0,79,27,9,4,1.0,3.0,3,36,Yes,7,32,6,1,1,1,40,2,Yes
57,Female,Single,Marketing,Executive,2,11014.0,69,20,8,0,2.0,2.0,3,24,No,4,30,11,4,3,4,36,1,No
56,Male,Married,Sales,Manager,2,12964.0,52,29,5,0,1.0,2.0,4,27,Yes,5,37,17,1,1,2,30,3,Yes
30,Male,Divorced,,Assistant,4,17129.0,18,26,6,9,,1.0,2,23,Yes,6,57,0,2,2,2,28,1,No
55,Male,Divorced,Finance,Analyst,2,14462.0,29,4,10,8,2.0,,4,97,Yes,1,48,9,1,1,2,18,3,No
32,Male,Divorced,Finance,Assistant,2,18278.0,35,20,2,0,1.0,3.0,3,20,No,2,57,7,4,1,2,29,4,Yes
22,Female,Single,Finance,Analyst,3,15392.0,35,24,12,3,,,4,10,Yes,6,49,15,1,2,3,34,2,Yes
52,Female,Married,,Analyst,3,11698.0,65,1,13,7,2.0,1.0,3,52,No,3,42,13,1,4,3,42,3,No
25,Male,Divorced,,Executive,1,3328.0,92,25,11,8,1.0,,3,90,Yes,3,41,8,1,2,3,26,2,Yes
29,Male,Married,Sales,Manager,1,,49,14,9,5,4.0,2.0,2,72,No,4,59,1,2,1,1,27,3,No
24,Male,Divorced,Marketing,Executive,2,13895.0,18,3,6,7,2.0,1.0,2,15,Yes,1,39,11,2,4,4,31,1,No
42,Female,Married,Finance,Manager,3,18386.0,46,21,8,5,3.0,1.0,3,10,Yes,5,48,4,2,4,2,29,3,No
29,Male,Divorced,Marketing,Executive,1,9316.0,26,21,7,7,3.0,1.0,2,13,Yes,8,57,3,1,4,1,13,3,No
21,Male,Divorced,Marketing,Executive,1,13962.0,68,4,12,6,3.0,4.0,2,42,Yes,8,50,19,4,3,4,36,2,No
32,Female,Divorced,IT,Analyst,3,15131.0,44,20,13,8,4.0,4.0,4,78,No,7,42,0,2,4,2,49,1,No
59,Male,Divorced,IT,Executive,1,6093.0,23,23,10,8,2.0,1.0,1,85,No,7,36,6,2,2,3,33,1,No
21,Female,Divorced,HR,Executive,4,9953.0,33,14,2,1,4.0,5.0,3,41,No,4,44,4,4,4,2,7,3,Yes
39,Female,Divorced,,Manager,4,16856.0,94,20,14,4,4.0,,1,85,Yes,9,44,12,3,4,3,26,1,No
20,Female,Divorced,Finance,Executive,3,,44,26,2,1,4.0,4.0,3,88,Yes,6,55,8,2,2,1,33,3,No
56,Female,Divorced,Marketing,Analyst,3,12823.0,79,19,13,5,4.0,4.0,4,85,No,2,50,16,4,4,3,19,4,No
28,Female,Divorced,HR,Executive,1,14598.0,59,27,5,3,2.0,2.0,3,66,No,5,48,9,4,2,3,2,4,Yes
36,Male,Married,IT,Assistant,2,13029.0,37,9,3,7,2.0,5.0,2,29,Yes,7,34,12,4,1,3,48,2,No
28,Male,Married,Sales,Assistant,5,7935.0,90,14,1,9,3.0,1.0,3,64,No,8,55,1,1,1,2,35,2,Yes
30,Female,Single,HR,Manager,4,12752.0,19,4,10,3,4.0,3.0,2,44,Yes,7,48,8,3,4,4,22,1,No
34,Female,Divorced,Finance,Manager,4,19270.0,98,4,11,5,4.0,,4,2,Yes,3,54,9,4,2,1,24,1,No
43,Male,Married,Marketing,Assistant,3,9713.0,81,26,13,0,1.0,,2,46,No,5,48,17,4,4,1,33,3,No
57,Male,Married,Finance,Executive,2,11235.0,80,12,3,3,2.0,1.0,4,80,No,9,49,2,4,2,4,2,3,Yes
54,Female,Married,Finance,Executive,3,,57,8,7,3,1.0,1.0,1,96,No,6,54,3,2,2,2,7,2,No
49,Male,Married,Sales,Manager,1,19237.0,98,28,10,5,2.0,4.0,4,76,Yes,4,59,10,3,4,4,30,4,No
50,Male,Married,Sales,Analyst,2,,16,16,9,7,4.0,5.0,2,60,No,6,57,4,4,4,4,36,1,Yes
24,Female,Married,Marketing,Executive,1,12024.0,62,11,11,3,1.0,4.0,1,55,Yes,1,49,14,3,1,3,7,1,Yes
33,Male,Single,,Assistant,4,14585.0,72,7,13,3,2.0,5.0,2,7,Yes,3,45,8,3,3,4,9,4,No
30,Male,Married,Finance,Analyst,3,,54,20,4,2,1.0,5.0,4,31,Yes,4,41,9,4,3,4,24,4,No
28,Male,Single,IT,Analyst,3,15659.0,67,14,8,7,1.0,3.0,1,56,No,7,55,13,1,1,4,24,1,No
53,Male,Single,Marketing,Executive,5,10800.0,73,24,6,5,3.0,,4,25,No,2,31,16,3,4,4,43,4,No
31,Female,Divorced,Finance,Analyst,2,10672.0,82,10,4,3,,3.0,3,69,No,7,56,4,3,2,3,25,1,No
54,Male,Divorced,IT,Manager,4,8432.0,77,2,3,4,4.0,1.0,3,75,Yes,8,55,18,2,2,4,43,1,Yes
54,Female,Divorced,Finance,Analyst,5,,50,29,5,1,4.0,3.0,2,7,No,8,35,1,2,1,1,4,2,No
20,Male,Married,Sales,Manager,5,11043.0,54,13,3,8,4.0,3.0,3,92,Yes,7,34,14,4,3,3,3,4,No
59,Female,Divorced,Sales,Executive,3,8192.0,20,9,8,7,2.0,2.0,3,19,No,8,34,19,3,1,4,17,1,Yes
41,Female,Married,,Analyst,2,10695.0,28,18,11,1,4.0,3.0,3,12,Yes,8,59,19,3,2,2,46,2,Yes
48,Male,Married,Marketing,Assistant,3,6061.0,93,10,12,7,1.0,2.0,2,44,No,1,57,12,1,3,4,13,2,No
27,Female,Divorced,,Assistant,2,,47,14,6,5,3.0,2.0,4,7,Yes,1,51,9,1,3,4,34,1,Yes
30,Female,Divorced,Finance,Manager,5,15853.0,33,3,11,0,1.0,2.0,3,17,No,7,40,8,2,1,1,35,1,Yes
56,Female,Single,HR,Manager,1,15589.0,90,29,6,9,1.0,2.0,3,25,No,8,43,8,4,1,3,9,2,No
33,Female,Single,Marketing,Executive,4,19287.0,57,22,7,3,,3.0,4,83,Yes,9,51,5,2,2,3,12,2,No
49,Female,Married,Marketing,Analyst,5,10657.0,68,7,12,4,3.0,4.0,3,32,No,5,42,14,1,2,1,35,4,No
54,Male,Married,Marketing,Manager,3,4724.0,87,25,14,1,4.0,4.0,1,7,No,2,54,14,3,4,4,21,3,Yes
40,Female,Divorced,,Manager,4,12125.0,97,24,7,9,2.0,1.0,4,75,Yes,7,55,12,3,2,2,39,2,No
56,Female,Divorced,Sales,Executive,5,3554.0,75,11,8,4,4.0,2.0,4,65,No,4,41,0,1,4,2,34,2,No
24,Male,Single,HR,Analyst,2,4284.0,27,6,5,0,4.0,4.0,4,15,Yes,5,31,19,1,4,3,37,1,No
38,Male,Divorced,,Analyst,3,,56,15,13,1,2.0,,3,42,Yes,1,48,9,3,2,2,16,4,No
33,Female,Married,Finance,Manager,5,18929.0,32,15,5,0,1.0,3.0,3,10,Yes,4,33,1,3,2,4,42,3,No
45,Male,Divorced,IT,Analyst,2,14812.0,86,8,6,1,4.0,1.0,1,80,Yes,5,49,9,2,2,1,28,3,No
23,Male,Single,Finance,Analyst,2,17058.0,79,27,4,1,3.0,4.0,2,93,No,9,31,6,3,1,3,22,4,No
44,Male,Married,Finance,Analyst,2,9158.0,62,29,2,6,4.0,1.0,2,43,Yes,5,57,7,4,2,3,6,4,No
44,Male,Single,Marketing,Assistant,4,15386.0,98,27,14,6,4.0,1.0,4,7,Yes,5,33,11,1,3,2,36,4,No
37,Male,Single,IT,Analyst,3,3216.0,50,21,2,6,1.0,1.0,1,86,No,8,38,15,1,1,4,40,4,No
59,Male,Married,Sales,Assistant,2,9553.0,95,26,2,1,4.0,4.0,1,73,Yes,4,37,12,2,3,1,22,4,No
27,Female,Single,Finance,Analyst,5,11382.0,59,26,2,2,1.0,2.0,2,69,No,7,41,8,3,2,1,9,4,No
58,Female,Divorced,Marketing,Analyst,2,7712.0,24,13,5,1,4.0,3.0,3,64,No,5,55,19,3,1,1,44,2,No
59,Male,Divorced,Sales,Analyst,3,10194.0,23,12,2,4,1.0,2.0,4,74,No,5,36,10,3,4,4,27,4,No
33,Male,Single,IT,Manager,4,4205.0,60,12,7,2,2.0,5.0,2,86,No,6,50,8,4,2,1,30,2,No
51,Female,Divorced,Sales,Manager,2,5642.0,31,9,11,9,3.0,2.0,2,66,Yes,8,59,15,4,2,4,23,4,No
57,Male,Single,IT,Assistant,5,14422.0,81,20,4,5,1.0,3.0,4,77,No,7,41,3,1,3,2,45,4,No
52,Female,Divorced,Finance,Analyst,3,15817.0,47,17,10,5,3.0,1.0,2,76,Yes,8,48,13,3,2,1,34,1,No
42,Male,Single,HR,Assistant,2,,79,15,5,4,4.0,2.0,4,19,Yes,3,41,7,4,1,1,10,3,Yes
34,Female,Divorced,HR,Analyst,4,18863.0,34,13,2,1,4.0,4.0,1,98,No,9,41,19,2,1,4,16,3,No
52,Female,Married,Finance,Executive,1,16526.0,80,14,12,7,1.0,5.0,3,48,Yes,5,33,6,3,1,1,41,1,No
44,Male,Married,Sales,Assistant,5,,30,8,1,5,2.0,1.0,3,14,Yes,7,46,11,3,4,1,28,2,No
36,Male,Divorced,IT,Manager,2,3099.0,87,21,9,1,3.0,1.0,4,4,No,1,56,6,3,1,4,12,1,No
52,Male,Single,HR,Executive,2,,28,13,6,0,1.0,,3,52,No,1,51,9,4,4,1,12,1,Yes
21,Male,Divorced,IT,Manager,1,9438.0,15,25,13,5,1.0,2.0,3,40,Yes,7,47,10,4,3,2,25,3,No
33,Female,Single,Finance,Executive,3,18536.0,49,3,5,1,3.0,4.0,2,84,Yes,6,51,6,2,2,4,13,2,Yes
59,Male,Divorced,Sales,Executive,1,18491.0,96,25,5,3,1.0,3.0,3,48,No,3,44,10,4,3,1,48,2,Yes
59,Female,Divorced,IT,Executive,3,,15,8,2,3,3.0,5.0,3,74,No,5,33,19,4,4,1,40,2,No
58,Male,Married,,Assistant,2,8842.0,57,6,8,8,4.0,4.0,3,70,Yes,5,51,13,4,1,1,34,1,No
25,Female,Single,HR,Assistant,1,18939.0,83,11,4,9,3.0,2.0,3,75,Yes,7,55,14,2,3,1,16,3,No
25,Male,Single,IT,Manager,2,13432.0,89,10,4,9,2.0,5.0,1,67,No,2,45,19,3,2,1,45,4,No
22,Male,Single,Marketing,Assistant,1,10742.0,69,26,8,6,,4.0,4,22,Yes,6,37,11,4,3,4,28,3,No
26,Female,Single,HR,Manager,2,6910.0,30,27,4,8,4.0,3.0,1,25,No,7,54,19,1,4,4,26,4,Yes
27,Male,Single,Sales,Analyst,2,,81,8,1,5,3.0,,4,47,No,5,45,18,1,1,1,24,2,Yes
34,Male,Married,Finance,Manager,2,12368.0,77,8,4,0,3.0,,3,59,Yes,1,33,0,3,4,3,34,2,No
48,Male,Divorced,Marketing,Manager,4,16334.0,86,23,13,9,1.0,1.0,3,65,Yes,4,30,16,4,4,3,11,1,Yes
52,Male,Single,IT,Assistant,1,14632.0,36,7,10,7,3.0,3.0,3,15,Yes,2,54,1,1,2,3,36,3,No
49,Male,Single,,Manager,4,,70,19,1,3,4.0,1.0,1,97,Yes,2,44,5,4,3,3,48,1,No
58,Female,Divorced,IT,Assistant,2,16932.0,66,23,6,9,4.0,1.0,2,74,No,1,59,11,4,3,2,2,2,No
46,Male,Married,IT,Manager,5,18760.0,95,12,2,7,2.0,,3,86,Yes,5,43,0,4,1,2,45,2,No
55,Female,Married,Marketing,Analyst,3,4376.0,41,3,11,2,,,1,50,Yes,1,35,14,3,2,2,49,4,No
48,Male,Married,Marketing,Assistant,1,15353.0,78,11,13,5,1.0,3.0,4,22,Yes,4,42,17,1,1,2,13,2,No
57,Male,Divorced,Marketing,Assistant,1,14916.0,59,13,9,3,4.0,1.0,2,50,Yes,5,50,12,4,2,4,33,2,No
52,Female,Divorced,Marketing,Analyst,3,,81,16,13,9,2.0,5.0,1,54,Yes,1,50,4,4,4,3,36,2,Yes
56,Female,Married,Finance,Assistant,4,3725.0,40,9,10,3,3.0,1.0,3,93,No,3,40,0,3,4,3,45,1,No
46,Female,Married,Sales,Manager,3,9269.0,27,27,4,1,1.0,2.0,2,44,No,7,46,1,1,2,2,35,3,No
52,Female,Divorced,Marketing,Executive,5,19465.0,95,16,11,3,,1.0,3,83,No,2,39,3,3,3,1,46,1,Yes
23,Female,Married,HR,Assistant,2,14210.0,44,5,13,0,3.0,4.0,1,79,No,5,34,15,1,4,1,46,1,No
41,Male,Single,IT,Executive,3,17773.0,92,27,8,0,2.0,4.0,1,10,No,9,52,9,2,1,2,43,4,Yes
21,Female,Divorced,Marketing,Manager,3,,44,8,11,4,4.0,,1,45,Yes,7,45,10,3,4,1,13,1,No
29,Female,Married,HR,Analyst,2,9673.0,58,12,2,0,3.0,1.0,2,94,Yes,2,48,19,2,2,2,48,2,No
24,Male,Single,Finance,Assistant,1,17222.0,62,3,5,2,3.0,2.0,4,87,Yes,8,41,13,2,4,2,48,2,Yes
29,Male,Divorced,HR,Executive,5,9142.0,23,3,12,2,2.0,5.0,2,57,No,2,58,16,3,1,2,22,4,No
52,Female,Divorced,HR,Analyst,3,5981.0,62,13,11,9,1.0,5.0,4,25,Yes,3,33,17,2,3,2,25,2,Yes
57,Female,Single,Finance,Analyst,3,15844.0,70,3,8,3,3.0,2.0,4,65,No,4,57,0,2,2,2,11,2,No
32,Female,Divorced,Finance,Assistant,1,6446.0,82,29,1,0,4.0,3.0,1,56,Yes,6,59,14,2,4,4,27,2,No
50,Male,Married,IT,Executive,5,5288.0,20,24,6,6,3.0,,4,78,No,8,41,6,4,4,1,1,4,No
55,Female,Divorced,Marketing,Assistant,2,11239.0,79,9,2,3,,1.0,2,44,No,8,50,9,2,3,2,46,3,No
